Global horizontal irradiation (GHI);Beam horizontal irradiation (BHI);Diffuse horizontal irradiation (DHI);Ambient temperature;Stromverbrauch VDI4655 EFH;Heizwärme VDI4655 EFH;Trinkwarmwasser VDI4655 EFH;Office 8-18;1 shift factory;2 shift factory
Wh/m²;Wh/m²;Wh/m²;°C;Normiert/a;Normiert/a;Normiert/a;Normiert/a;Normiert/a;Normiert/a
18,5200000000;0,0000000000;20,2100000000;9,0100000000;6,34256E-05;9,94204E-05;0,000143715;5,35967E-05;7,71632E-05;6,19682E-05
76,1000000000;18,4700000000;57,6300000000;10,7100000000;6,99056E-05;8,69929E-05;3,59288E-05;5,2492E-05;0,000179483;0,000144139
136,7500000000;48,7200000000;88,0300000000;12,0100000000;0,000196109;9,32067E-05;7,18575E-05;5,19218E-05;0,000218759;0,000175681
168,3800000000;62,5000000000;105,8800000000;13,4700000000;0,000210909;9,32067E-05;0,000179644;5,61269E-05;0,000278022;0,000223274
176,0500000000;60,2900000000;115,7600000000;15,1600000000;9,37776E-05;8,69929E-05;0,000107786;5,95123E-05;0,000287407;0,00023081
149,4300000000;35,7500000000;113,6700000000;16,6300000000;0,00015106;0,000118062;0,000538931;5,92272E-05;0,000204204;0,000163992
133,1000000000;25,2500000000;107,8500000000;17,4000000000;0,000113995;0,000118062;0,000107786;5,16367E-05;0,000217369;0,000174565
98,2200000000;18,5400000000;79,6900000000;17,4000000000;6,26221E-05;7,45653E-05;7,18575E-05;4,82869E-05;0,000272939;0,000219191
48,2500000000;6,4600000000;41,7900000000;16,4700000000;8,90603E-05;8,69929E-05;3,59288E-05;4,71466E-05;0,000286494;0,000230078
7,3200000000;0,0000000000;7,6600000000;15,1800000000;4,81848E-05;8,69929E-05;0;5,4737E-05;8,48534E-05;0,000159735
0,0000000000;0,0000000000;0,0000000000;14,4200000000;6,54474E-05;7,45653E-05;0;5,50221E-05;7,83363E-05;0,000154502
0,0000000000;0,0000000000;0,0000000000;13,9500000000;0,000106064;0,000118062;3,59288E-05;5,4452E-05;6,53019E-05;0,000144034
0,0000000000;0,0000000000;0,0000000000;12,7500000000;0,000154456;9,32067E-05;3,59288E-05;5,4737E-05;7,82928E-05;0,000154467
0,0000000000;0,0000000000;0,0000000000;11,7500000000;0,000203159;0,000111848;0;5,33116E-05;6,52585E-05;0,000143999
0,0000000000;0,0000000000;0,0000000000;11,4300000000;0,000210028;8,07791E-05;0;5,22069E-05;7,82928E-05;0,000154467
0,0000000000;0,0000000000;0,0000000000;11,5600000000;0,000330555;0,000149131;0,00028743;5,2492E-05;6,51716E-05;0,000143929
0,0000000000;0,0000000000;0,0000000000;11,8100000000;4,95586E-05;6,2138E-06;0;5,27771E-05;7,81625E-05;0,000154362
0,0000000000;0,0000000000;0,0000000000;11,9800000000;7,10719E-05;7,45653E-05;0;5,2492E-05;6,50413E-05;5,22333E-05
0,0000000000;0,0000000000;0,0000000000;11,9300000000;6,61731E-05;8,69929E-05;0;5,2492E-05;7,79887E-05;6,26311E-05
0,0000000000;0,0000000000;0,0000000000;11,9700000000;6,35552E-05;9,32067E-05;0;5,22069E-05;6,49109E-05;5,21286E-05
0,0000000000;0,0000000000;0,0000000000;11,9700000000;6,36071E-05;9,94204E-05;0;5,6697E-05;7,78583E-05;6,25264E-05
0,0000000000;0,0000000000;0,0000000000;11,9100000000;6,41514E-05;0,000105634;0;8,53128E-05;6,4824E-05;5,20588E-05
0,0000000000;0,0000000000;0,0000000000;11,8400000000;0,000153186;0,000248551;0,000898219;0,000106374;7,78149E-05;6,24915E-05
0,0000000000;0,0000000000;0,0000000000;11,6900000000;7,57893E-05;0,000124276;0;0,000129359;6,04358E-05;4,85347E-05
14,7000000000;0,0000000000;16,4600000000;11,4900000000;6,34256E-05;9,94204E-05;0,000143715;0,000138624;7,36005E-05;5,9107E-05
59,8500000000;10,1600000000;49,6900000000;11,8900000000;6,99056E-05;8,69929E-05;3,59288E-05;0,000144255;0,000174834;0,000140405
107,9500000000;33,1800000000;74,7700000000;12,7700000000;0,000196109;9,32067E-05;7,18575E-05;0,000143115;0,000211808;0,000170098
137,9000000000;53,7600000000;84,1400000000;14,2800000000;0,000210909;9,32067E-05;0,000179644;0,00014707;0,00026842;0,000215563
149,6500000000;56,1400000000;93,5100000000;15,6100000000;9,37776E-05;8,69929E-05;0,000107786;0,000150135;0,000281454;0,00022603
141,9300000000;45,6100000000;96,3100000000;16,6300000000;0,00015106;0,000118062;0,000538931;0,000140869;0,000198904;0,000159735
126,3000000000;43,1800000000;83,1200000000;16,9300000000;0,000113995;0,000118062;0,000107786;0,000140584;0,000211895;0,000170168
94,6500000000;27,8800000000;66,7700000000;16,5700000000;6,26221E-05;7,45653E-05;7,18575E-05;0,00013809;0,00026829;0,000215458
46,4200000000;12,3400000000;34,0900000000;15,8600000000;8,90603E-05;8,69929E-05;3,59288E-05;0,000131604;0,000281194;0,000225821
7,8500000000;0,0000000000;9,8100000000;14,3700000000;4,81848E-05;8,69929E-05;0;0,000119559;8,45058E-05;0,000159456
0,0000000000;0,0000000000;0,0000000000;13,1400000000;6,54474E-05;7,45653E-05;0;0,000110579;7,79887E-05;0,000154223
0,0000000000;0,0000000000;0,0000000000;12,9800000000;0,000106064;0,000118062;3,59288E-05;9,2048E-05;6,49109E-05;0,00014372
0,0000000000;0,0000000000;0,0000000000;12,8800000000;0,000154456;9,32067E-05;3,59288E-05;7,94329E-05;7,79452E-05;0,000154188
0,0000000000;0,0000000000;0,0000000000;12,7000000000;0,000203159;0,000111848;0;5,6697E-05;6,4824E-05;0,00014365
0,0000000000;0,0000000000;0,0000000000;12,3500000000;0,000210028;8,07791E-05;0;5,35967E-05;7,78583E-05;0,000154118
0,0000000000;0,0000000000;0,0000000000;11,8500000000;0,000330555;0,000149131;0,00028743;5,38818E-05;6,47806E-05;0,000143615
0,0000000000;0,0000000000;0,0000000000;11,5100000000;4,95586E-05;6,2138E-06;0;5,50221E-05;7,7728E-05;0,000154013
0,0000000000;0,0000000000;0,0000000000;11,4700000000;0,000171163;0,000242615;4,12977E-05;5,38818E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;11,6900000000;0,000112717;0,000203797;4,12977E-05;5,50221E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;11,6600000000;0,000113826;0,000223206;0;5,61269E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;11,3600000000;7,47834E-05;0,000213502;0;6,53922E-05;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;10,8800000000;8,49919E-05;0,000232911;0,000123893;8,53128E-05;6,1913E-05;4,97211E-05
0,0000000000;0,0000000000;0,0000000000;10,7900000000;0,000155296;0,000232911;0,000206489;0,000106908;7,49473E-05;6,01887E-05
0,0000000000;0,0000000000;0,0000000000;10,8400000000;0,000160058;0,000184388;0,000743359;0,000130784;5,75682E-05;4,62319E-05
12,6500000000;0,0000000000;13,6100000000;10,9600000000;9,68035E-05;0,000242615;0,000123893;0,000143115;7,33832E-05;5,89326E-05
59,5800000000;18,2900000000;41,2900000000;11,6500000000;0,000109723;0,00025232;0,00053687;0,000144255;6,04358E-05;4,85347E-05
107,9000000000;40,7500000000;67,1500000000;12,6000000000;0,000108497;0,000281434;0,000123893;0,0001434;7,35136E-05;5,90372E-05
143,9000000000;54,5800000000;89,3200000000;13,7500000000;0,000199478;0,000242615;4,12977E-05;0,000148745;6,26516E-05;5,03142E-05
171,7300000000;66,2600000000;105,4600000000;14,7900000000;5,51681E-05;0,000203797;0;0,000145075;7,58163E-05;6,08865E-05
160,0500000000;58,6400000000;101,4100000000;15,3600000000;4,69636E-05;0,000242615;0;0,000142295;6,06096E-05;4,86743E-05
74,9700000000;16,9800000000;58,0000000000;15,7100000000;4,74351E-05;0,000213502;0;0,000138624;7,38177E-05;5,92815E-05
68,6200000000;8,8000000000;59,8200000000;15,9000000000;4,56433E-05;0,000262025;0;0,000132744;6,28689E-05;5,04887E-05
27,8000000000;3,4400000000;24,3600000000;15,3000000000;6,70269E-05;0,00025232;4,12977E-05;0,000126865;7,59901E-05;6,10261E-05
5,9300000000;0,0000000000;6,3100000000;13,6300000000;0,000114816;0,000300843;4,12977E-05;0,000112254;6,08268E-05;4,88488E-05
0,0000000000;0,0000000000;0,0000000000;12,2600000000;7,23787E-05;0,000271729;0,000165191;0,000104414;7,82928E-05;6,28754E-05
